State Code,State Name,2020 Population,Population Rank,Congregations,Congregations Rank,"Congregations per 100,000 Population","Congregations Per 100,000 Pop. Rank",Adherents,Adherents Rank,Adherents as % of Population,Adherents as % of Population Rank,Largest Body by # of Congregations,# of Congregations,% of All Congregations,Largest Body by # of Adherents,# of Adherents,% of All Adherents,Diversity Index Value,Diversity Index Value Rank
32,Nevada,"3,104,614",32,"1,540",42,49.6,51,"1,291,778",35,41.61%,38,Church of Jesus Christ of Latter-day Saints,353,22.9%,Catholic Church,"766,102",59.3%,0.5897,42
33,New Hampshire,"1,377,529",41,"1,048",46,76.1,43,"374,948",48,27.22%,51,United Church of Christ,132,12.6%,Catholic Church,"220,305",58.8%,0.4406,51
34,New Jersey,"9,288,994",11,"6,071",24,65.4,47,"4,846,460",10,52.17%,15,Catholic Church,673,11.1%,Catholic Church,"2,971,461",61.3%,0.6623,18
35,New Mexico,"2,117,522",36,"2,405",38,113.6,29,"1,111,977",36,52.51%,14,Catholic Church,439,18.3%,Catholic Church,"633,259",56.9%,0.6664,15
36,New York,"20,201,249",4,"13,828",7,68.5,46,"10,347,548",3,51.22%,18,Catholic Church,"1,451",10.5%,Catholic Church,"6,191,464",59.8%,0.6610,20
37,North Carolina,"10,439,388",9,"16,200",4,155.2,16,"5,443,737",8,52.15%,16,Southern Baptist Convention,"4,374",27.0%,Southern Baptist Convention,"1,324,747",24.3%,0.6826,7
38,North Dakota,"779,094",47,"1,452",43,186.4,7,"428,647",43,55.02%,11,Evangelical Lutheran Church in America,367,25.3%,Catholic Church,"164,843",38.5%,0.6969,5
39,Ohio,"11,799,448",7,"13,906",6,117.9,26,"5,646,238",7,47.85%,27,Non-denominational Christian Churches,"1,867",13.4%,Catholic Church,"1,820,233",32.2%,0.6600,21
40,Oklahoma,"3,959,353",28,"7,166",20,181.0,9,"2,422,123",26,61.17%,4,Southern Baptist Convention,"1,781",24.9%,Southern Baptist Convention,"775,607",32.0%,0.6627,17
41,Oregon,"4,237,256",27,"4,072",33,96.1,37,"1,405,973",33,33.18%,49,Non-denominational Christian Churches,706,17.3%,Catholic Church,"480,618",34.2%,0.5223,48
42,Pennsylvania,"13,002,700",5,"15,135",5,116.4,27,"6,097,345",6,46.89%,30,United Methodist Church,"1,986",13.1%,Catholic Church,"2,845,841",46.7%,0.6501,24
44,Rhode Island,"1,097,379",43,708,51,64.5,48,"565,251",41,51.51%,17,Catholic Church,142,20.1%,Catholic Church,"445,597",78.8%,0.5969,40
45,South Carolina,"5,118,425",23,"8,205",16,160.3,14,"2,695,900",23,52.67%,13,Southern Baptist Convention,"2,109",25.7%,Southern Baptist Convention,"816,405",30.3%,0.6767,10
46,South Dakota,"886,667",46,"1,944",39,219.2,4,"491,026",42,55.38%,9,Non-denominational Christian Churches,281,14.5%,Catholic Church,"132,805",27.0%,0.7051,3
47,Tennessee,"6,910,840",16,"13,397",8,193.9,6,"3,844,957",13,55.64%,8,Southern Baptist Convention,"3,151",23.5%,Southern Baptist Convention,"1,310,341",34.1%,0.6614,19
48,Texas,"29,145,505",2,"29,750",1,102.1,33,"16,045,479",2,55.05%,10,Southern Baptist Convention,"7,935",26.7%,Catholic Church,"5,905,142",36.8%,0.6986,4
49,Utah,"3,271,616",30,"6,018",25,183.9,8,"2,489,571",25,76.10%,1,Church of Jesus Christ of Latter-day Saints,"5,239",87.1%,Church of Jesus Christ of Latter-day Saints,"2,126,216",85.4%,0.5157,49
50,Vermont,"643,077",50,823,49,128.0,23,"242,017",50,37.63%,45,United Church of Christ,129,15.7%,Catholic Church,"134,208",55.5%,0.5588,44
51,Virginia,"8,631,393",12,"10,465",12,121.2,24,"3,970,305",12,46.00%,32,Southern Baptist Convention,"2,030",19.4%,Catholic Church,"888,163",22.4%,0.6489,25
53,Washington,"7,705,281",13,"6,196",22,80.4,41,"3,184,751",16,41.33%,41,Non-denominational Christian Churches,764,12.3%,Non-denominational Christian Churches,"1,103,660",34.7%,0.6000,39
54,West Virginia,"1,793,716",39,"4,072",33,227.0,3,"677,633",39,37.78%,44,United Methodist Church,"1,041",25.6%,Non-denominational Christian Churches,"152,518",22.5%,0.5661,43
55,Wisconsin,"5,893,718",20,"6,183",23,104.9,31,"2,831,594",21,48.04%,26,Catholic Church,752,12.2%,Catholic Church,"1,237,342",43.7%,0.6574,22
56,Wyoming,"576,851",51,958,48,166.1,12,"233,016",51,40.39%,42,Church of Jesus Christ of Latter-day Saints,172,18.0%,Catholic Church,"69,500",29.8%,0.6022,38
